org_key,year,event_key,match_key,match_number,time,alliance,team_key,totalAutoPoints,totalTeleopPoints,totalEndgamePoints,contributedPoints,totalAutoCoral,totalTeleopCoral,totalCoral,totalAutoAlgae,totalTeleopAlgae,totalAlgae,ClimbTime,Reliability,startingPosition,didLeaveStartingZone,autoCoralL4,autoCoralL3,autoCoralL2,autoCoralL1,autoAlgaeProc,autoAlgaeNet,teleopCoralL4,teleopCoralL3,teleopCoralL2,teleopCoralL1,teleopAlgaeProc,teleopAlgaeNet,didDefense,Defenserating,totalMinorFouls,totalMajorFouls,climbingStartTime,climbingStopTime,bargeStatus,diedDuringMatch,recoveredFromFreeze,didYellowCard,didRedCard
steelcity,2025,2025miber,2025miber_qm2,2,3/15/2025 3:08:00 PM,red,frc4237,"7","45","0","52","1","9","10","0","0","0","0","1","Processor Side","0","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","Not Parked","0","0","0","0"
steelcity,2025,2025miber,2025miber_qm2,2,3/15/2025 3:08:00 PM,blue,frc4422,"10","34","12","56","1","7","8","0","0","0","27","1","Processor Side","1","1","0","0","0","0","0","6","1","0","0","0","0","0","0","0","0","50","23","Deep Cage","0","0","0","0"
steelcity,2025,2025miber,2025miber_qm3,3,3/15/2025 3:16:00 PM,red,frc4325,"6","2","2","10","1","1","2","0","0","0","1","1","Middle","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","10","9","Parked","0","0","0","0"
steelcity,2025,2025miber,2025miber_qm3,3,3/15/2025 3:16:00 PM,blue,frc9106,"0","0","0","0","0","0","0","0","0","0","0","0","Cage Side","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Not Parked","1","0","0","0"
steelcity,2025,2025miber,2025miber_qm4,4,3/15/2025 3:24:00 PM,red,frc9566,"3","18","2","23","0","0","0","0","3","3","14","1","Cage Side","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","14","0","Parked","0","0","0","0"
steelcity,2025,2025miber,2025miber_qm4,4,3/15/2025 3:24:00 PM,blue,frc3936,"0","18","2","20","0","0","0","0","3","3","51","1","Middle","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","51","0","Parked","0","0","0","0"
steelcity,2025,2025miber,2025miber_qm5,5,3/15/2025 3:32:00 PM,red,frc5462,"0","3","2","5","0","1","1","0","0","0","2","1","Cage Side","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","27","25","Parked","0","0","0","0"
steelcity,2025,2025miber,2025miber_qm5,5,3/15/2025 3:32:00 PM,blue,frc288,"0","2","6","8","0","1","1","0","0","0","28","1","Middle","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","54","26","Shallow Cage","0","0","0","0"
steelcity,2025,2025miber,2025miber_qm6,6,3/15/2025 3:40:00 PM,red,frc3539,"24","19","0","43","3","4","7","0","0","0","150","1","Cage Side","1","3","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","150","0","Not Parked","0","0","0","0"
steelcity,2025,2025miber,2025miber_qm6,6,3/15/2025 3:40:00 PM,blue,frc7814,"3","24","0","27","0","0","0","0","4","4","150","1","Processor Side","1","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","150","0","Not Parked","0","0","0","0"
steelcity,2025,2025miber,2025miber_qm7,7,3/15/2025 3:48:00 PM,blue,frc217,"6","15","0","21","1","3","4","0","0","0","8","1","Processor Side","1","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","13","5","Not Parked","0","0","0","0"
steelcity,2025,2025miber,2025miber_qm7,7,3/15/2025 3:48:00 PM,blue,frc3875,"3","28","2","33","0","5","5","0","1","1","3","1","Processor Side","1","0","0","0","0","0","0","2","3","0","0","1","0","0","0","0","0","3","0","Parked","0","0","0","0"
steelcity,2025,2025miber,2025miber_qm8,8,3/15/2025 3:56:00 PM,blue,frc9227,"3","4","2","9","0","1","1","0","0","0","4","1","Middle","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","0","Parked","0","0","0","0"
steelcity,2025,2025miber,2025miber_qm9,9,3/15/2025 4:04:00 PM,blue,frc5182,"0","0","2","2","0","0","0","0","0","0","8","1","Cage Side","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","22","Parked","0","0","0","0"
