org_key,year,event_key,match_key,match_number,time,alliance,team_key,totalAutoPoints,totalTeleopPoints,totalEndgamePoints,contributedPoints,totalAutoCoral,totalTeleopCoral,totalCoral,totalAutoAlgae,totalTeleopAlgae,totalAlgae,ClimbTime,Reliability,startingPosition,didLeaveStartingZone,autoCoralL4,autoCoralL3,autoCoralL2,autoCoralL1,autoAlgaeProc,autoAlgaeNet,teleopCoralL4,teleopCoralL3,teleopCoralL2,teleopCoralL1,teleopAlgaeProc,teleopAlgaeNet,didDefense,Defenserating,totalMinorFouls,totalMajorFouls,climbingStartTime,climbingStopTime,bargeStatus,diedDuringMatch,recoveredFromFreeze,didYellowCard,didRedCard
frc4467,2025,2025nysu,2025nysu_qm1,1,3/7/2025 1:50:00 PM,red,frc10152,"3","2","0","5","0","1","1","0","0","0","0","1","Middle","1","0","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","0","0","Not Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm1,1,3/7/2025 1:50:00 PM,red,frc7668,"0","0","0","0","0","0","0","0","0","0","0","1","Not There","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Not Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm1,1,3/7/2025 1:50:00 PM,blue,frc353,"10","50","2","62","1","10","11","0","0","0","2","1","Processor Side","1","1","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","9","7","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm1,1,3/7/2025 1:50:00 PM,blue,frc1155,"0","0","0","0","0","0","0","0","0","0","0","0","Cage Side","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Not Parked","1","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm1,1,3/7/2025 1:50:00 PM,red,frc5736,"24","35","12","71","3","7","10","0","0","0","8","1","Processor Side","1","3","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","11","3","Deep Cage","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm1,1,3/7/2025 1:50:00 PM,blue,frc6463,"0","0","0","0","0","0","0","0","0","0","0","0","Not There","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Not Parked","1","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm2,2,3/7/2025 1:59:00 PM,red,frc1796,"17","16","12","45","2","4","6","0","0","0","10","1","Cage Side","1","2","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","25","15","Deep Cage","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm2,2,3/7/2025 1:59:00 PM,red,frc7318,"3","8","2","13","0","4","4","0","0","0","0","1","Processor Side","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm2,2,3/7/2025 1:59:00 PM,red,frc9636,"3","0","2","5","0","0","0","0","0","0","3","1","Middle","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","3","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm2,2,3/7/2025 1:59:00 PM,blue,frc287,"3","0","0","3","0","0","0","0","0","0","0","1","Cage Side","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","Not Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm2,2,3/7/2025 1:59:00 PM,blue,frc333,"6","32","2","40","1","7","8","0","0","0","2","1","Middle","0","0","1","0","0","0","0","6","0","0","1","0","0","0","0","0","0","2","0","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm2,2,3/7/2025 1:59:00 PM,blue,frc6401,"0","0","2","2","0","0","0","0","0","0","16","1","Processor Side","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","16","0","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm3,3,3/7/2025 2:09:00 PM,blue,frc6969,"0","10","2","12","0","2","2","0","0","0","10","1","Processor Side","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","20","10","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm3,3,3/7/2025 2:09:00 PM,blue,frc9295,"3","26","0","29","0","13","13","0","0","0","150","1","Cage Side","1","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","150","0","Not Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm3,3,3/7/2025 2:09:00 PM,blue,frc263,"0","0","2","2","0","0","0","0","0","0","12","1","Processor Side","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","12","0","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm3,3,3/7/2025 2:09:00 PM,red,frc9016,"3","24","2","29","0","5","5","0","0","0","-135","1","Processor Side","1","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","10","145","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm3,3,3/7/2025 2:09:00 PM,red,frc6423,"0","16","2","18","0","4","4","0","0","0","2","1","Cage Side","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","2","0","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm3,3,3/7/2025 2:09:00 PM,red,frc3950,"3","0","2","5","0","0","0","0","0","0","5","1","Middle","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm4,4,3/7/2025 2:19:00 PM,red,frc9713,"3","0","2","5","0","0","0","0","0","0","11","1","Cage Side","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","11","0","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm4,4,3/7/2025 2:19:00 PM,red,frc10262,"3","6","2","11","0","3","3","0","0","0","8","1","Processor Side","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","13","5","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm4,4,3/7/2025 2:19:00 PM,red,frc9642,"3","2","2","7","0","1","1","0","0","0","0","1","Middle","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm4,4,3/7/2025 2:19:00 PM,blue,frc6911,"3","3","2","8","0","1","1","0","0","0","2","1","Cage Side","1","0","0","0","0","0","0","0","0","1","0","0","0","1","4","0","1","2","0","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm4,4,3/7/2025 2:19:00 PM,blue,frc1880,"6","19","2","27","1","7","8","0","0","0","2","1","Middle","1","0","0","0","1","0","0","0","0","5","2","0","0","0","0","0","0","2","0","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm4,4,3/7/2025 2:19:00 PM,blue,frc379,"3","4","2","9","0","0","0","0","1","1","3","0.5","Processor Side","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","25","22","Parked","1","1","0","0"
frc4467,2025,2025nysu,2025nysu_qm5,5,3/7/2025 2:29:00 PM,red,frc2601,"3","0","2","5","0","0","0","0","0","0","6","0.5","Middle","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","14","Parked","1","1","0","0"
frc4467,2025,2025nysu,2025nysu_qm5,5,3/7/2025 2:29:00 PM,blue,frc6300,"3","2","2","7","0","1","1","0","0","0","0","1","Middle","1","0","0","0","0","0","0","0","0","0","1","0","0","1","4","1","0","0","0","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm5,5,3/7/2025 2:29:00 PM,blue,frc2872,"3","29","2","34","0","6","6","0","0","0","7","1","Processor Side","1","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","7","0","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm5,5,3/7/2025 2:29:00 PM,red,frc369,"0","10","2","12","0","2","2","0","0","0","12","1","Processor Side","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","12","0","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm5,5,3/7/2025 2:29:00 PM,red,frc6880,"0","0","0","0","0","0","0","0","0","0","0","1","Not There","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Not Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm5,5,3/7/2025 2:29:00 PM,blue,frc4122,"10","27","2","39","1","2","3","0","5","5","30","1","Cage Side","1","1","0","0","0","0","0","1","0","0","1","0","5","0","0","0","0","32","2","Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm6,6,3/7/2025 2:39:00 PM,red,frc2053,"10","54","0","64","1","12","13","0","0","0","150","1","Cage Side","1","1","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","150","0","Not Parked","0","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm6,6,3/7/2025 2:39:00 PM,red,frc10229,"3","0","0","3","0","0","0","0","0","0","0","0","Middle","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","150","Not Parked","1","0","0","0"
frc4467,2025,2025nysu,2025nysu_qm6,6,3/7/2025 2:39:00 PM,red,frc7504,"0","6","0","6","0","0","0","0","1","1","150","1","Processor Side","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","150","0","Not Parked","0","0","0","0"
