org_key,year,event_key,team_key,driverYearsOnDriveTeam,humanPlayerYearsOnDriveTeam,coachYearsOnDriveTeam,driveBaseMultiSelect,DrivetrainQuality,driveBaseLength,driveBaseWidth,robotHeight,robotWeight,driveCenterOfGravity,electricalWiring,mechanicalQuality,canPickupCoralGround,canPickupAlgaeground,canPickupCoralFeedstation,canPickupAlgaeReef,scoreL1,scoreL2,scoreL3,scoreL4,scoreProcessor,scoreNet,usualStrategy,StartProcess,StartCenter,StartFar,describeAuto,CageClimb,comments
steelcity,2025,2025paca,frc63,"4","2","10","Rev Swerve","1","27","31","37","114","Middle (Kinda Top Heavy)","2","1.25","0","1","1","0","1","1","1","0","1","0","High algae volume, team coop point, deep hang","1","1","1","Taxi from anywhere","Deep","Java"
steelcity,2025,2025paca,frc117,"3","2","2","Kitbot Chassis  AM14U","2","27","32","42","107","Low (Not top heavy)","1.5","1","0","1","0","1","1","0","0","0","1","1","Get algae from reef and process/put in net. Plays defense","1","1","1","Score coral in L1","Park","Language: Python"
steelcity,2025,2025paca,frc379,"3","3","10","Custom - See Notes","1","29.5","29.5","43","112.4","Middle (Kinda Top Heavy)","1","1","0","1","1","1","1","1","1","1","1","1","Algae in netCoral second priority","1","1","1","2 coral on l2 or l3","Deep","Thrifty bot swerveJavaSeemed like a pretty solid team"
steelcity,2025,2025paca,frc451,"1","1","2","Rev Swerve","1","28”","28”","42”","111 lbs","High (Easy to Fall Over)","2","3","1","0","0","0","1","1","1","1","1","0"," Going for coral and decoach","0","1","0","Drive out ","Deep",""
steelcity,2025,2025paca,frc677,"4","4","2","Rev Swerve","1","29","29","41.5","~108","Middle (Kinda Top Heavy)","2","2","0","0","1","0","1","1","1","1","0","0","Higher corals L3/4","1","1","1","L4","Deep","JavaDeep climb possibly broken"
steelcity,2025,2025paca,frc694,"1","2","3","Rev Swerve","1","33 (with bumper), 29 (without bumper)","33 (with bumper), 29 (without bumper)","41","114.3","Middle (Kinda Top Heavy)","","2","1","1","1","1","1","1","1","1","1","0","Mainly sticking to taking coral and algae.","0","1","1","Scoring coral and pushing other robots away.","Deep","Uses Java for programming. Both driver and human player have off-season experience."
steelcity,2025,2025paca,frc709,"1","2","1","Mechanum","1","30","30","30","103","Low (Not top heavy)","2","1.25","0","0","1","0","1","1","0","0","0","0","Cycle 4 to 5 times per match, knock algae off the reef","1","1","1","2 autos , short and long taxi","Park","Language-Java"
steelcity,2025,2025paca,frc1708,"1","1","10","Custom Swerve","2","30 (with bumper), 26 (without bumper)","31 (with bumper), 27 (without bumper)","42","114.8","Middle (Kinda Top Heavy)","2","1","0","0","1","1","1","1","1","1","1","1","Offense, coral starting from the top to bottom.","0","0","1","Take coral and give it to alliance members when necessary.","Deep","Java"
steelcity,2025,2025paca,frc2095,"2","1","4","Mechanum","","29","29","41","","Middle (Kinda Top Heavy)","","","0","0","1","0","1","1","1","0","0","0","Cycle l2 ","1","1","1","Preloaded l1","Park","Robot wasn’t there for pictures "
steelcity,2025,2025paca,frc2172,"2","1","1","WCP Swerve X","4","27","29","","111","Middle (Kinda Top Heavy)","1","2","0","0","1","0","1","1","1","0","1","1","Offensive, coral focus ","0","0","0","","Shallow","Auto is still being programmed, unsure of auto functionality "
steelcity,2025,2025paca,frc2234,"4","2","3","Mechanum","3","31","35","Didn’t say","113","Low (Not top heavy)","3","3","0","0","1","0","0","1","1","1","0","0","L2,L3,L4, HP, defense ","1","1","1","Taxi","Shallow","C++"
steelcity,2025,2025paca,frc2399,"2","2","2","Rev Swerve","","28","30","47","110","Low (Not top heavy)","1","1","0","0","1","1","1","1","1","1","1","0","take algae off the reef, cycle coral","1","0","1","taxi, E 4 levels","Deep","Java"
steelcity,2025,2025paca,frc2603,"3","3","1","SDS MK4 LT2","1","26","32","41.5","114.4","Low (Not top heavy)","1","1","0","1","1","0","1","1","1","1","1","0","Get five coral on each level. Deep hang.","0","1","0","Taxi.","Deep","Language : LabView"
steelcity,2025,2025paca,frc2638,"3","1","1","SDS MK4 LT3","1","24","24","41","110","Low (Not top heavy)","1","1","0","0","1","1","1","1","1","1","1","1","Clear algae and score coral, deep hang.","0","1","0","One auto that Picks algae, scores one L4, scores in net. Untested, One auto that is 3 piece L4.","Deep","Language: Java"
steelcity,2025,2025paca,frc2641,"2","2","8","Custom - See Notes","2","28","28","40","115","Low (Not top heavy)","2","2","0","0","1","0","1","1","1","1","0","0","Coral","1","1","1","L4 preloaded testedUntested 3 L4 coral","Deep","Mark 4 I swerveJava"
steelcity,2025,2025paca,frc2656,"1","4","9","Kitbot Chassis  AM14U","3","27”","32”","40”","90","Middle (Kinda Top Heavy)","3","1","0","1","0","1","1","0","0","0","1","1","Auto in center for l1 algae, put algae in processor ","1","1","1","Get algae in L1","Park",""
steelcity,2025,2025paca,frc3260,"1","1","3","Rev Swerve","1","28","28","42","114.2","Low (Not top heavy)","3","1","1","1","1","1","1","1","1","1","1","0","Stay to one side-optimize driving. Cycle time of 8 to 10 seconds. Score L4 and L3 in teleop and deep hang","1","0","1","L4","Deep","Java"
