org_key,year,event_key,team_key,driveBaseType,driveBaseLength,driveBaseWidth,robotHeight,robotWeight,driveCenterOfGravity,CoralTime,pickUpSource,pickUpGround,canTheyScoreL1,L2,L3,L4,AlgaeProcessorTime,AlgaeAverageCycleTimeBarge,AlgaeReed,AlgaeFlooe,AlgaeProxesser,AlgaeBarge,scoreHang,CageClimb,autoRuns,autoSourceRun,autoMiddleRun,autopricesserRun,autoRunNotes,comment
frc8749,2025,2025txwac,frc148,"Swerve L1","28","27","41","115","Middle(More Towards Top)","12","1","0","0","0","0","0","10","10","1","1","1","1","1","Deep",,"1","0","1","Any","Professional in how they handled it"
frc8749,2025,2025txwac,frc418,"Swerve L2","35","35","41","111","Low(low)","8","1","0","0","0","0","0","0","0","0","0","0","0","1","Deep",,"1","1","1","","Very efficient cycling, 7-9 seconds "
frc8749,2025,2025txwac,frc1296,"Swerve L1","28","28","38","104","Low(low)","10","1","1","0","1","1","1","0","0","0","0","0","0","1","Deep",,"1","1","1","Any","They seem skilled and professional with how they answer my questions"
frc8749,2025,2025txwac,frc2158,"Swerve L1","27","27","28","111","Low(low)","0","1","1","0","0","0","0","0","0","1","1","0","0","0","Shallow",,"1","1","1","","Prioritize ground intake and mainly go for corals"
frc8749,2025,2025txwac,frc2468,"Swerve L1","28","28","38","102","Low(low)","0","1","0","0","0","0","0","0","0","0","1","1","0","1","Deep",,"1","1","1","Scoring the L2 on both sides","Couldn't get picture due to team members not knowing "
frc8749,2025,2025txwac,frc2582,"Swerve L1","35","35","41","113","Middle(More Towards Top)","10","1","0","0","0","0","0","8","0","0","0","0","0","1","Deep",,"1","1","1","","L4 them score 5 then go down from there, if necessary go down to L1"
frc8749,2025,2025txwac,frc2583,"Swerve L1","30","30","42","114","Low(low)","9","1","0","0","1","1","1","0","0","1","0","0","0","0","Shallow",,"1","0","1","Knock down coral",""
frc8749,2025,2025txwac,frc2687,"Swerve L1","28","28","38","106","Low(low)","0","1","0","0","0","0","0","6","0","0","0","0","0","1","Deep",,"1","0","1","","Mainly score L1 and L2 corals, will try to get 1 or 2 algae in every game"
frc8749,2025,2025txwac,frc2689,"Tank","32","36","33","79","Low(low)","0","1","0","1","0","0","0","0","0","0","1","1","0","1","Deep",,"1","1","1","?","The team member was not well imformed"
frc8749,2025,2025txwac,frc2714,"Swerve L1","29","29","41","114","Middle(More Towards Top)","5","1","0","0","0","0","0","0","0","0","0","0","0","1","Deep",,"1","1","0","","ONLY FOCUSES ON CORAL,  goes deep in the last few seconds "
