Scouter Initials,Match Number,Robot,Team Number,Starting Position,No Show,Moved?,Timer,Offense Skill,Defense Skill,Died/Tipped Over,Yellow/Red Card,End Position,Comments,Coral L1 Auto,Coral L1 Teleop,Coral L2 Auto,Coral L2 Teleop,Coral L3 Auto,Coral L3 Teleop,Coral L4 Auto,Coral L4 Teleop,Algae in Net Auto,Algae in Net Teleop,Algae in Processor Auto,Algae in Processor Teleop
AB,1,Red 1,5743,Deep,TRUE,FALSE,142.36,5,Poor,TRUE,No Card,Park,,3,3,3,3,1,1,2,2,2,2,10,10
AB,1,Red 2,5750,Deep,FALSE,TRUE,27.19,4,Average,TRUE,Yellow Card,Park,Good match,1,1,0,0,3,3,1,1,6,6,8,8
IJ,1,Red 3,1783,Park,FALSE,TRUE,40.72,4,Average,FALSE,No Card,Shallow,Robot stalled,4,4,2,2,1,1,5,5,9,9,5,5
CD,1,Blue 1,2955,Shallow,TRUE,TRUE,46.72,4,Poor,FALSE,Yellow Card,Shallow,Good match,4,4,4,4,2,2,3,3,3,3,1,1
CD,1,Blue 2,9895,Deep,TRUE,TRUE,59.86,3,Average,TRUE,No Card,Shallow,Issues with scoring,2,2,1,1,1,1,1,1,2,2,9,9
IJ,1,Blue 3,5435,Park,TRUE,TRUE,113.31,1,Excellent,TRUE,No Card,Shallow,,2,2,5,5,5,5,4,4,2,2,3,3
IJ,2,Red 1,8708,Shallow,FALSE,TRUE,9.86,1,Good,TRUE,No Card,Deep,Robot stalled,5,5,1,1,0,0,5,5,10,10,6,6
IJ,2,Red 2,5743,Shallow,TRUE,FALSE,18.69,5,Good,FALSE,Yellow Card,Deep,Robot stalled,3,3,4,4,3,3,0,0,6,6,5,5
GH,2,Red 3,1015,Shallow,TRUE,TRUE,55.36,3,Good,FALSE,No Card,Park,,5,5,1,1,5,5,4,4,0,0,5,5
GH,2,Blue 1,2955,Deep,FALSE,FALSE,22.45,3,Poor,FALSE,Yellow Card,Deep,Issues with scoring,3,3,5,5,2,2,4,4,9,9,4,4
EF,2,Blue 2,9895,Shallow,FALSE,FALSE,87.61,2,Not Observed,FALSE,Red Card,Park,,1,1,2,2,5,5,5,5,9,9,6,6
IJ,2,Blue 3,5750,Park,TRUE,FALSE,59.51,5,Poor,TRUE,Yellow Card,Park,,2,2,0,0,2,2,2,2,8,8,10,10
EF,3,Red 1,1783,Shallow,FALSE,FALSE,89.62,3,Good,FALSE,Yellow Card,Park,Robot stalled,1,1,3,3,4,4,1,1,4,4,6,6
IJ,3,Red 2,2955,Shallow,TRUE,TRUE,96,1,Excellent,FALSE,Red Card,Park,Issues with scoring,4,4,3,3,1,1,2,2,0,0,8,8
GH,3,Red 3,7283,Park,FALSE,FALSE,128.18,1,Not Observed,FALSE,No Card,None,Good match,0,0,5,5,0,0,0,0,5,5,6,6
EF,3,Blue 1,6354,Shallow,TRUE,TRUE,40.08,3,Excellent,TRUE,No Card,None,,0,0,1,1,5,5,1,1,8,8,9,9
GH,3,Blue 2,1670,Shallow,TRUE,TRUE,87.07,1,Good,TRUE,Red Card,None,Robot stalled,0,0,2,2,0,0,0,0,10,10,9,9
CD,3,Blue 3,9895,Park,FALSE,TRUE,86.32,3,Not Observed,FALSE,No Card,Deep,Robot stalled,0,0,3,3,0,0,2,2,3,3,1,1
EF,4,Red 1,9895,Shallow,FALSE,FALSE,48.2,2,Excellent,TRUE,Red Card,None,Robot stalled,2,2,3,3,5,5,4,4,5,5,6,6
GH,4,Red 2,5435,Shallow,FALSE,FALSE,134.1,2,Average,FALSE,Yellow Card,Deep,Robot stalled,4,4,0,0,5,5,5,5,4,4,2,2
AB,4,Red 3,1015,Deep,FALSE,FALSE,25.97,2,Poor,TRUE,Yellow Card,None,Robot stalled,4,4,0,0,0,0,0,0,9,9,1,1
IJ,4,Blue 1,8219,Deep,TRUE,FALSE,70.06,5,Excellent,TRUE,Yellow Card,Shallow,,4,4,3,3,5,5,0,0,6,6,8,8
AB,4,Blue 2,5750,Shallow,FALSE,TRUE,93.05,1,Poor,TRUE,Yellow Card,Shallow,Issues with scoring,4,4,3,3,3,3,2,2,5,5,6,6
IJ,4,Blue 3,1783,Shallow,FALSE,FALSE,125.65,4,Excellent,TRUE,Yellow Card,Park,Good match,4,4,3,3,0,0,5,5,6,6,3,3
EF,5,Red 1,7283,Shallow,FALSE,FALSE,92.22,5,Not Observed,TRUE,Red Card,Park,Robot stalled,3,3,0,0,3,3,2,2,2,2,7,7
GH,5,Red 2,5435,Shallow,FALSE,FALSE,111.28,5,Excellent,FALSE,Yellow Card,Park,Issues with scoring,0,0,0,0,3,3,3,3,9,9,5,5
GH,5,Red 3,6354,Deep,TRUE,TRUE,89.99,5,Average,FALSE,Yellow Card,None,Robot stalled,5,5,5,5,0,0,2,2,4,4,6,6
GH,5,Blue 1,5743,Deep,FALSE,TRUE,132.87,5,Poor,TRUE,Red Card,Park,Issues with scoring,0,0,1,1,0,0,4,4,0,0,6,6
EF,5,Blue 2,8708,Deep,TRUE,FALSE,60.37,3,Poor,TRUE,No Card,Shallow,Good match,0,0,3,3,0,0,4,4,6,6,3,3
GH,5,Blue 3,2955,Shallow,TRUE,FALSE,100.65,2,Good,TRUE,No Card,Deep,Robot stalled,3,3,2,2,3,3,5,5,10,10,8,8
IJ,6,Red 1,9895,Park,FALSE,FALSE,11.83,1,Excellent,FALSE,No Card,Park,,5,5,2,2,0,0,1,1,6,6,8,8
CD,6,Red 2,1015,Shallow,FALSE,FALSE,76,4,Average,TRUE,Yellow Card,Deep,,1,1,4,4,5,5,3,3,6,6,1,1
GH,6,Red 3,1670,Deep,FALSE,TRUE,9.14,2,Poor,FALSE,No Card,None,Robot stalled,5,5,4,4,5,5,3,3,5,5,5,5
CD,6,Blue 1,5743,Deep,TRUE,FALSE,73.89,5,Excellent,TRUE,Red Card,Park,Robot stalled,2,2,0,0,1,1,4,4,3,3,5,5
GH,6,Blue 2,8219,Shallow,FALSE,TRUE,26.65,2,Poor,TRUE,Red Card,Deep,Good match,5,5,2,2,4,4,4,4,2,2,10,10
GH,6,Blue 3,5750,Park,FALSE,TRUE,76.01,4,Excellent,TRUE,No Card,Shallow,Robot stalled,2,2,2,2,1,1,2,2,3,3,5,5
CD,7,Red 1,5750,Shallow,TRUE,TRUE,142.55,3,Average,TRUE,Yellow Card,Park,,3,3,4,4,3,3,5,5,6,6,8,8
EF,7,Red 2,1783,Park,FALSE,TRUE,78.07,5,Poor,FALSE,Yellow Card,None,Issues with scoring,4,4,5,5,4,4,0,0,5,5,6,6
EF,7,Red 3,5435,Park,FALSE,TRUE,54.07,4,Excellent,TRUE,Red Card,None,Robot stalled,3,3,2,2,1,1,1,1,9,9,10,10
CD,7,Blue 1,2955,Shallow,FALSE,TRUE,58.58,1,Good,TRUE,No Card,Deep,Robot stalled,5,5,5,5,3,3,2,2,1,1,10,10
AB,7,Blue 2,9895,Deep,TRUE,FALSE,112.61,4,Average,FALSE,Red Card,Park,,0,0,2,2,4,4,4,4,5,5,9,9
CD,7,Blue 3,1015,Park,FALSE,FALSE,69.99,4,Poor,TRUE,Yellow Card,Park,Good match,2,2,2,2,5,5,2,2,7,7,2,2
AB,8,Red 1,8708,Shallow,TRUE,TRUE,84.57,1,Good,FALSE,Yellow Card,Deep,,1,1,5,5,0,0,1,1,3,3,10,10
IJ,8,Red 2,1783,Shallow,FALSE,TRUE,55.76,5,Not Observed,FALSE,No Card,None,Issues with scoring,0,0,4,4,3,3,0,0,9,9,10,10
AB,8,Red 3,6354,Park,TRUE,FALSE,107.09,1,Not Observed,FALSE,Red Card,Deep,Good match,1,1,5,5,4,4,3,3,9,9,1,1
CD,8,Blue 1,5743,Park,TRUE,TRUE,86.43,5,Not Observed,TRUE,Red Card,Deep,Good match,1,1,3,3,5,5,0,0,3,3,9,9
CD,8,Blue 2,2955,Shallow,TRUE,TRUE,134.11,3,Excellent,TRUE,Red Card,None,Issues with scoring,1,1,2,2,0,0,4,4,10,10,2,2
CD,8,Blue 3,1670,Park,TRUE,FALSE,57.19,1,Excellent,FALSE,Red Card,Deep,Good match,4,4,3,3,5,5,2,2,10,10,1,1
IJ,9,Red 1,2955,Deep,TRUE,FALSE,59.95,4,Average,TRUE,No Card,Shallow,Issues with scoring,2,2,5,5,0,0,5,5,0,0,1,1
CD,9,Red 2,5750,Park,TRUE,FALSE,84.92,2,Excellent,TRUE,Yellow Card,Park,,0,0,0,0,1,1,2,2,3,3,3,3
IJ,9,Red 3,7283,Park,TRUE,FALSE,1.39,2,Poor,FALSE,Yellow Card,None,Good match,2,2,1,1,4,4,4,4,3,3,1,1
EF,9,Blue 1,8219,Shallow,FALSE,TRUE,103.8,4,Poor,FALSE,No Card,Park,Good match,2,2,3,3,1,1,1,1,7,7,7,7
CD,9,Blue 2,5435,Deep,FALSE,FALSE,105.96,1,Excellent,FALSE,Red Card,Shallow,Robot stalled,1,1,3,3,3,3,3,3,8,8,0,0
AB,9,Blue 3,1015,Park,FALSE,FALSE,130.17,5,Not Observed,FALSE,Red Card,None,,5,5,2,2,4,4,2,2,5,5,8,8
AB,10,Red 1,1783,Shallow,TRUE,TRUE,22.29,3,Excellent,FALSE,Red Card,Shallow,,4,4,3,3,3,3,4,4,4,4,5,5
GH,10,Red 2,1015,Deep,FALSE,FALSE,131.69,1,Poor,FALSE,Yellow Card,Shallow,,1,1,5,5,3,3,5,5,6,6,3,3
GH,10,Red 3,2955,Park,TRUE,TRUE,132.81,3,Poor,FALSE,Yellow Card,Park,Robot stalled,4,4,1,1,4,4,1,1,8,8,9,9
IJ,10,Blue 1,9895,Park,FALSE,TRUE,136.01,3,Average,TRUE,No Card,Deep,Good match,2,2,3,3,5,5,1,1,9,9,10,10
EF,10,Blue 2,5750,Deep,TRUE,FALSE,131.14,2,Excellent,FALSE,Red Card,None,Issues with scoring,1,1,1,1,0,0,0,0,2,2,10,10
GH,10,Blue 3,5435,Shallow,FALSE,TRUE,86.14,5,Average,FALSE,Red Card,Park,Robot stalled,5,5,1,1,4,4,0,0,4,4,8,8
CD,11,Red 1,5743,Park,TRUE,FALSE,29.58,3,Average,FALSE,Yellow Card,Deep,Issues with scoring,2,2,1,1,1,1,5,5,2,2,10,10
GH,11,Red 2,1783,Deep,FALSE,TRUE,27.1,5,Average,FALSE,No Card,Park,,2,2,0,0,1,1,1,1,5,5,1,1
AB,11,Red 3,5435,Deep,FALSE,TRUE,70.43,1,Excellent,TRUE,Yellow Card,None,Issues with scoring,4,4,3,3,2,2,4,4,7,7,0,0
CD,11,Blue 1,8708,Deep,TRUE,FALSE,146.92,3,Excellent,FALSE,Red Card,Park,Robot stalled,1,1,0,0,3,3,4,4,4,4,10,10
AB,11,Blue 2,7283,Shallow,FALSE,TRUE,24.38,2,Not Observed,TRUE,No Card,Deep,,2,2,1,1,5,5,1,1,0,0,10,10
IJ,11,Blue 3,6354,Park,TRUE,TRUE,144.76,4,Poor,TRUE,Red Card,Deep,Good match,0,0,0,0,0,0,2,2,7,7,2,2
CD,12,Red 1,2955,Park,FALSE,FALSE,114.06,3,Excellent,TRUE,No Card,Park,Issues with scoring,1,1,5,5,3,3,1,1,5,5,7,7
CD,12,Red 2,5750,Deep,FALSE,TRUE,128.26,5,Average,FALSE,No Card,None,Good match,5,5,2,2,0,0,3,3,5,5,5,5
AB,12,Red 3,5743,Park,TRUE,FALSE,142.55,4,Poor,TRUE,Yellow Card,Deep,,2,2,2,2,3,3,0,0,1,1,5,5
EF,12,Blue 1,9895,Shallow,TRUE,FALSE,60.05,5,Average,TRUE,No Card,None,Issues with scoring,3,3,5,5,0,0,3,3,0,0,5,5
GH,12,Blue 2,1783,Deep,FALSE,TRUE,134.11,2,Good,FALSE,Yellow Card,Shallow,,5,5,1,1,3,3,5,5,0,0,8,8
EF,12,Blue 3,8219,Deep,FALSE,FALSE,48.55,3,Excellent,FALSE,Red Card,Shallow,Good match,0,0,1,1,4,4,2,2,10,10,6,6
AB,13,Red 1,1015,Park,FALSE,TRUE,86.33,4,Poor,FALSE,Red Card,Deep,Good match,1,1,4,4,2,2,2,2,5,5,2,2
IJ,13,Red 2,2955,Deep,FALSE,TRUE,134.76,3,Average,FALSE,No Card,Deep,,3,3,4,4,5,5,4,4,3,3,3,3
IJ,13,Red 3,9895,Shallow,FALSE,FALSE,74.49,3,Good,FALSE,No Card,Deep,,3,3,0,0,2,2,5,5,5,5,0,0
EF,13,Blue 1,7283,Deep,FALSE,FALSE,97.83,3,Good,FALSE,Yellow Card,Deep,Good match,1,1,5,5,1,1,0,0,10,10,5,5
CD,13,Blue 2,5435,Shallow,TRUE,FALSE,66.51,4,Good,FALSE,Red Card,Deep,Good match,0,0,1,1,2,2,3,3,3,3,5,5
AB,13,Blue 3,8708,Deep,TRUE,TRUE,147.16,4,Excellent,TRUE,No Card,Deep,Good match,3,3,2,2,4,4,5,5,9,9,6,6
EF,14,Red 1,9895,Deep,TRUE,FALSE,76.33,1,Excellent,TRUE,No Card,Shallow,,5,5,5,5,1,1,4,4,10,10,3,3
CD,14,Red 2,1783,Deep,FALSE,TRUE,8.24,1,Excellent,TRUE,No Card,Shallow,Robot stalled,0,0,2,2,4,4,2,2,9,9,4,4
EF,14,Red 3,6354,Deep,FALSE,FALSE,126.55,2,Poor,TRUE,No Card,None,,0,0,4,4,4,4,4,4,0,0,6,6
IJ,14,Blue 1,8708,Deep,FALSE,TRUE,59.18,4,Good,TRUE,No Card,Park,Robot stalled,1,1,4,4,3,3,2,2,6,6,4,4
IJ,14,Blue 2,8219,Park,FALSE,TRUE,114.2,1,Good,FALSE,Red Card,Park,Good match,3,3,5,5,1,1,0,0,4,4,4,4
GH,14,Blue 3,5743,Park,TRUE,FALSE,132.64,4,Excellent,FALSE,Yellow Card,Park,,4,4,0,0,2,2,2,2,10,10,3,3
GH,15,Red 1,8219,Deep,TRUE,TRUE,123.43,2,Average,FALSE,No Card,Shallow,Good match,4,4,0,0,3,3,2,2,3,3,1,1
