org_key,year,event_key,match_key,match_number,time,alliance,team_key,totalAutoPoints,totalTeleopPoints,totalEndgamePoints,contributedPoints,totalAutoCoral,totalTeleopCoral,totalCoral,totalAutoAlgae,totalTeleopAlgae,totalAlgae,ClimbTime,Reliability,startingPosition,didLeaveStartingZone,autoCoralL4,autoCoralL3,autoCoralL2,autoCoralL1,autoAlgaeProc,autoAlgaeNet,teleopCoralL4,teleopCoralL3,teleopCoralL2,teleopCoralL1,teleopAlgaeProc,teleopAlgaeNet,didDefense,Defenserating,totalMinorFouls,totalMajorFouls,climbingStartTime,climbingStopTime,bargeStatus,diedDuringMatch,recoveredFromFreeze,didYellowCard,didRedCard,otherNotes
steelcity,2025,2025pasc,2025pasc_qm1,1,2/15/2025 20:30,red,frc2172,7,18,12,37,1,2,3,0,2,2,2,,Processor Side,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,9,7,Deep Cage,0,0,0,0,
steelcity,2025,2025pasc,2025pasc_qm1,1,2/15/2025 20:30,red,frc291,0,4,2,6,0,2,2,0,0,0,14,,Middle,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,24,10,Parked,0,0,0,0,
steelcity,2025,2025pasc,2025pasc_qm1,1,2/15/2025 20:30,blue,frc3504,0,4,12,16,0,1,1,0,0,0,13,,Cage Side,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,3,Deep Cage,0,0,0,0,
steelcity,2025,2025pasc,2025pasc_qm1,1,2/15/2025 20:30,blue,frc3260,10,18,6,34,2,2,4,0,2,2,4,0,Cage Side,0,0,1,1,0,0,0,1,0,1,0,1,1,0,6,0,0,7,3,Shallow Cage,1,0,0,0,
steelcity,2025,2025pasc,2025pasc_qm1,1,2/15/2025 20:30,blue,frc117,0,24,2,26,0,0,0,0,4,4,7,0.5,Cage Side,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,9,2,Parked,1,1,0,0,Test
steelcity,2025,2025pasc,2025pasc_qm1,1,2/15/2025 20:30,red,frc9475,3,8,2,13,0,0,0,0,2,2,1,,Processor Side,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,Parked,0,0,0,0,
steelcity,2025,2025pasc,2025pasc_qm2,2,2/15/2025 20:45,red,frc4467,0,0,0,0,0,0,0,0,0,0,6,0,Processor Side,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4,Not Parked,1,0,0,0,#2 Andrew said Ian messed up Dead battery 
steelcity,2025,2025pasc,2025pasc_qm2,2,2/15/2025 20:45,blue,frc9653,3,0,2,5,0,0,0,0,0,0,5,,Cage Side,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,Parked,0,0,0,0,
steelcity,2025,2025pasc,2025pasc_qm2,2,2/15/2025 20:45,blue,frc2656,3,8,6,17,0,0,0,0,2,2,3,,Cage Side,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,3,Shallow Cage,0,0,0,0,
steelcity,2025,2025pasc,2025pasc_qm3,3,2/15/2025 21:00,red,frc4467,3,10,0,13,1,2,3,0,1,1,0,1.5,Processor Side,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,Not Parked,0,1,0,0,Match 3 stuck on an algae
steelcity,2025,2025pasc,2025pasc_qm4,4,2/15/2025 21:15,blue,frc2656,0,4,2,6,0,0,0,0,0,0,,,Cage Side,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Parked,0,0,0,0,
steelcity,2025,2025pasc,2025pasc_qm5,5,2/15/2025 21:30,blue,frc3260,0,6,0,6,0,3,3,0,0,0,,,Processor Side,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,Not Parked,0,0,0,0,
steelcity,2025,2025pasc,2025pasc_qm6,6,2/15/2025 21:45,red,frc117,0,6,0,6,0,0,0,0,1,1,,,Processor Side,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Not Parked,0,0,0,0,
steelcity,2025,2025pasc,2025pasc_qm7,7,2/15/2025 22:00,red,frc9653,0,6,0,6,0,0,0,0,1,1,,,Not There,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Not Parked,1,0,0,0,Match 7 was disabled for the beginning of teleop 
steelcity,2025,2025pasc,2025pasc_qm7,7,2/15/2025 22:00,blue,frc2172,3,2,2,7,0,1,1,0,0,0,,,Middle,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,13,Parked,0,0,0,0,
steelcity,2025,2025pasc,2025pasc_qm8,8,2/15/2025 22:15,blue,frc9475,3,6,2,11,0,3,3,0,0,0,,,Cage Side,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,17,0,Parked,0,0,0,0,
steelcity,2025,2025pasc,2025pasc_qm9,9,2/15/2025 22:30,red,frc9475,3,6,2,11,0,3,3,0,0,0,,,Processor Side,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,32,0,Parked,1,0,0,0,Match 9 disabled during climb 
steelcity,2025,2025pasc,2025pasc_qm10,10,2/15/2025 22:45,red,frc2656,3,24,0,27,0,0,0,0,4,4,,,Middle,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Not Parked,0,0,0,0,
steelcity,2025,2025pasc,2025pasc_qm12,12,2/15/2025 23:15,red,frc3504,3,0,0,3,0,0,0,0,0,0,,,Processor Side,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Parked,0,0,0,0,
